strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/SouthAfrica/NICD-N38044/2022	betacoronavirus	EPI_ISL_11867456	?	2022-03-14	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	8	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38046/2022	betacoronavirus	EPI_ISL_11867458	?	2022-03-14	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	36	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38049/2022	betacoronavirus	EPI_ISL_11867461	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	34	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38059/2022	betacoronavirus	EPI_ISL_11867470	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29702	Human	27	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38065/2022	betacoronavirus	EPI_ISL_11867475	?	2022-03-15	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	19	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38081/2022	betacoronavirus	EPI_ISL_11867486	?	2022-03-17	Africa	South Africa	Mpumalanga		Africa	South Africa	Mpumalanga	genome	29708	Human	61	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38098/2022	betacoronavirus	EPI_ISL_11867495	?	2022-03-16	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	37	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38106/2022	betacoronavirus	EPI_ISL_11867499	?	2022-03-16	Africa	South Africa	Limpopo		Africa	South Africa	Limpopo	genome	29708	Human	17	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38124/2022	betacoronavirus	EPI_ISL_11867510	?	2022-03-21	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	21	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38147/2022	betacoronavirus	EPI_ISL_11867524	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29687	Human	25	Female	?	BA.4	GRA	HELEN JOSEPH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38148/2022	betacoronavirus	EPI_ISL_11867525	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	34	Female	?	BA.4	GRA	HELEN JOSEPH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38149/2022	betacoronavirus	EPI_ISL_11867526	?	2022-03-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	42	Female	?	BA.4	GRA	HELEN JOSEPH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/NICD-N38150/2022	betacoronavirus	EPI_ISL_11867527	?	2022-03-23	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	29	Male	?	BA.4	GRA	HELEN JOSEPH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/Denmark/DCGC-469344/2022	betacoronavirus	EPI_ISL_11873073	?	2022-04-02	Europe	Denmark	Syddanmark		Europe	Denmark	Syddanmark	genome	29755	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-08	?
hCoV-19/SouthAfrica/CERI-KRISP-K039350/2022	betacoronavirus	EPI_ISL_11903035	?	2022-03-08	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29730	Human	33	Female	?	BA.4	GRA	ZARV/NHLS, Department Medical Virology, University of Pretoria	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Amy Strydom, Adriano Mendes, Micheala Davids, Sim Mayaphi and Marietjie Venter, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ,Sanko TJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-10	?
hCoV-19/SouthAfrica/CERI-KRISP-K039382/2022	betacoronavirus	EPI_ISL_11903059	?	2022-04-02	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29732	Human	21	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Nokukhanya Mdlalose, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ,Sanko TJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-10	?
hCoV-19/Denmark/DCGC-472527/2022	betacoronavirus	EPI_ISL_11913288	?	2022-04-02	Europe	Denmark	Syddanmark		Europe	Denmark	Syddanmark	genome	29723	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-11	?
hCoV-19/Austria/LB-R00069-S353/2022	betacoronavirus	EPI_ISL_11984860	?	2022-04-05	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29383	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, Felix Valentin Spiegel, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/Austria/LB-R00069-S355/2022	betacoronavirus	EPI_ISL_11984862	?	2022-04-05	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29357	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, Felix Valentin Spiegel, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/Austria/LB-R00069-S356/2022	betacoronavirus	EPI_ISL_11984863	?	2022-04-05	Europe	Austria	Vienna		Europe	Austria	Vienna	genome	29795	Human	unknown	unknown	?	BA.4	GRA	Lifebrain Covid Labor GmbH	Lifebrain Covid Labor GmbH	Filip Sima, Alexandra Wagner, Kristina Bavrka Kolenc, Lucia Castello, Hannes Hagen, Abhishek Mitra, Felix Valentin Spiegel, So Jung Han, Florian Scharhauser	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/Denmark/DCGC-476047/2022	betacoronavirus	EPI_ISL_11988685	?	2022-04-04	Europe	Denmark	Syddanmark		Europe	Denmark	Syddanmark	genome	29746	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/Denmark/DCGC-476838/2022	betacoronavirus	EPI_ISL_11990462	?	2022-04-05	Europe	Denmark	Midtjylland		Europe	Denmark	Midtjylland	genome	29777	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/France/PAC-CERBAHC-03943203/2022	betacoronavirus	EPI_ISL_11994300	?	2022-03-30	Europe	France	Provence-Alpes-Cote d'Azur		Europe	France	Provence-Alpes-Cote d'Azur	genome	29776	Human	40	Female	?	BA.4	GRA	LABM VIALATTE ESPACE SANTE	CERBA HealthCare	Bénédicte Roquebert, Laura Verdurme, Mathilde Roussel, Sabine Trombert, Stéphanie Haim-Boukobza	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039622/2022	betacoronavirus	EPI_ISL_11999052	?	2022-03-29	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29789	Human	47	Male	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039623/2022	betacoronavirus	EPI_ISL_11999053	?	2022-03-29	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29705	Human	20	Female	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039624/2022	betacoronavirus	EPI_ISL_11999054	?	2022-03-29	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29797	Human	43	Female	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039625/2022	betacoronavirus	EPI_ISL_11999055	?	2022-03-29	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29775	Human	33	Male	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039626/2022	betacoronavirus	EPI_ISL_11999056	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29701	Human	30	Male	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039627/2022	betacoronavirus	EPI_ISL_11999057	?	2022-03-29	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29771	Human	25	Male	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/CERI-KRISP-K039635/2022	betacoronavirus	EPI_ISL_11999065	?	2022-03-30	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29677	Human	75	Female	?	BA.4	GRA	NHLS Charlotte Maxeke Johannesburg Hospital	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Kathleen Subramoney, Nkhensani Mtileni, Ashlyn S. C. Davis, Selebogo F. Maoko, Florette K. Treurnicht, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-12	?
hCoV-19/SouthAfrica/NICD-N37688/2022	betacoronavirus	EPI_ISL_12006222	?	2022-03-13	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	59	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N37689/2022	betacoronavirus	EPI_ISL_12006223	?	2022-03-13	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	14	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N37699/2022	betacoronavirus	EPI_ISL_12006230	?	2022-03-13	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	41	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N37724/2022	betacoronavirus	EPI_ISL_12006240	?	2022-03-10	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	26	Female	?	BA.4	GRA	HELEN JOSEPH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38292/2022	betacoronavirus	EPI_ISL_12006243	?	2022-03-25	Africa	South Africa	North West		Africa	South Africa	North West	genome	29708	Human	42	Male	?	BA.4	GRA	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38298/2022	betacoronavirus	EPI_ISL_12006245	?	2022-03-24	Africa	South Africa	North West		Africa	South Africa	North West	genome	29708	Human	21	Male	?	BA.4	GRA	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38365/2022	betacoronavirus	EPI_ISL_12006251	?	2022-03-20	Africa	South Africa	North West		Africa	South Africa	North West	genome	29708	Human	39	Female	?	BA.4	GRA	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38462/2022	betacoronavirus	EPI_ISL_12006273	?	2022-03-24	Africa	South Africa	Eastern Cape		Africa	South Africa	Eastern Cape	genome	29708	Human	40	Female	?	BA.4	GRA	PORT ELIZABETH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38488/2022	betacoronavirus	EPI_ISL_12006286	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	60	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38490/2022	betacoronavirus	EPI_ISL_12006288	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29295	Human	30	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38491/2022	betacoronavirus	EPI_ISL_12006289	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	26	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38493/2022	betacoronavirus	EPI_ISL_12006291	?	2022-03-22	Africa	South Africa	Mpumalanga		Africa	South Africa	Mpumalanga	genome	29708	Human	38	Male	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
hCoV-19/SouthAfrica/NICD-N38517/2022	betacoronavirus	EPI_ISL_12006305	?	2022-03-22	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29708	Human	5	Female	?	BA.4	GRA	AMPATH	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-13	?
